ano,Brasil,América Latina e Caribe,Mundo
1990,0.0,,
1991,0.0033,,
1992,0.0129,,
1993,0.0255,,
1994,0.0377,,
1995,0.105,,
1996,0.451,,
1997,0.786,,
1998,1.48,,
1999,2.04,,
2000,2.8707,,
2001,4.5285,,
2002,9.1494,,
2003,13.2076,,
2004,19.0737,,
2005,21.0227,16.6,15.6
2006,28.1784,20.7,17.2
2007,30.88,23.7,20.2
2008,33.83,26.4,22.8
2009,39.22,31.0,25.3
2010,40.65,34.6,28.4
2011,45.69,39.3,30.9
2012,48.56,43.0,33.3
2013,51.04,46.1,35.3
2014,54.551,48.7,37.4
2015,58.328,54.4,39.9
2016,60.8725,57.5,43.6
2017,67.4713,60.2,46.3
2018,70.4343,63.5,49.4
2019,73.9124,67.8,53.9
2020,81.3427,73.8,60.1
2021,80.6899,75.8,63.8
2022,80.5278,77.1,67.0
2023,84.1506,80.0,69.2
2024,84.4635,81.7,71.2
2025,,83.7,73.6
